Word,Joy,Optimism,Admiration,Acceptance,Fear,Apprehension,Amazement,Surprise,Loathing,Disgust,Rage,Anger,Anticipation,Interest,Sadness,Disapproval,Appreciation,Grief,Love
scum,0.003260293,0,0,0.013727749,0.015932394,0.032500364,0.014359848,0.097689286,0.024902353,0.015369752,0.06962908,0.031613402,0.027538843,0.013186215,0.049319416,0,0,0.040072776,0
fucked,0.020047532,0,0,0,0.002803343,0,0,0.00865897,0.029129114,0,0.051542033,0.08027139,0,0.020336224,0,0.07365416,0,0,0
funny,0.017230406,0.028171826,0,0.055796612,0,0,0,0.034422338,0,0,0,0,0,0.082287684,0.028840037,0,0.026374778,0,0.07635484
smart,0,0.042549413,0,0.022673842,0.08149149,0.011180843,0,0,0,0,0.017679185,0.024469784,0.020726155,0.060079016,0.022843733,0.07132453,0,0.005358978,0.048869383
crazy,0.10229838,0.07259253,0.015112193,0.0765489,0.057819586,0,0.032694146,0,0,0,0.23173127,0.08395216,0.039190143,0.03341192,0,0.081289805,0.019476552,0.051854998,0.17566508
interesting,0,0.032426484,0.020578384,0,0,0,0,0.090954,0,0.049384978,0.025764285,0,0,0.9386309,0,0.052618667,0,0,0.14882107
lucky,0.052787457,0.120981,0.058705986,0,0.051008232,0.030412598,0.12125641,0.16907023,0,0,0,0,0.039175,0.060243778,0,0,0.043525074,0,0
wonder,0.09550667,0.034951966,0.3308301,0.0039587,0.25526497,0.06895648,0.5036934,0.3141965,0.089285865,0.09497867,0.045800664,0.07801608,0.07574555,0.53353185,0.05741535,0.04861064,0.064914264,0.05515509,0.13564306
warn,0,0.08122363,0,0,0.35112122,0.08095095,0,0.044366833,0.027477795,0.008020406,0.074075714,0.000425463,0.09268785,0,0,0.04307518,0.054237623,0,0
sympathy,0.17756091,0.09246478,0.053590214,0.19412334,0.07083126,0.19542797,0.17131184,0.13240074,0.2545367,0.30485538,0.13125683,0.2022602,0,0.2005541,0.25492752,0.24209814,0.13279073,0.3030336,0.14565362
suddenly,0.18918829,0,0.039140724,0,0.0682771,0.052324105,0.17658941,0.1609528,0,0,0.120223306,0.03881338,0.053365707,0,0.000299066,0.195723,0,0.104732916,0.063171044
posts,0,0.009807446,0.019056873,0.072292484,0.039938387,0.018876765,0.07338201,0.031039074,0.060942605,0.05265118,0.049507163,0.04974955,0.04810093,0.041757237,0.10716747,0,0,0.08508153,0.019367946
positive,0.05267037,0.08696412,0.023570972,0.07956045,0.03453878,0.016219355,0,0.07343206,0,0,0,0.04461715,0.066723876,0.038831633,0.03909025,0.09284039,0.049709707,0,0.046245288
over,0,0,0,0.0349126,0.0412798,0.040098,0,0,0,0,0,0,0,0,0.0310885,0.6109545,0,0.0438871,0
meldonium,0,0,0,0,0.003167,0.000819,0,0,0.0061227,0.00502,0,0,0,0.000612,0,0.009936,0,0,0
letter,0,0,0,0.074084476,0.027177943,0,0,0.03668604,0,0,0.002418142,0.018616952,0,0.032822486,0,0.016135216,0.015380361,0.036723655,0.029179484
IStandWithMaria,0,0.026236592,0.596016936,0.4153267,0.048469204,0.00874415,0.09970021,0.010279661,0.018590271,0.01698029,0.005546523,0.007025291,0.005430633,0,0.001371807,0.1036142,0.024284203,0.006306258,0.094347775
highlights,0.019118002,0.017930835,0.00219097,0,0.025557654,0.062053002,0.015019174,0.03912549,0,0,0.023502707,0.018699875,0.06181089,0.23094925,0.02136394,0,0.13175084,0,0.028357778
fights,0.000763187,0.009387925,0.017216688,0.032418553,0.09776961,0,0,0.014346354,0,0,0.05326632,0.012987561,0,0.002102645,0.004825631,0.026217805,0,0,0.04564271
fans,0.007193329,0.00342363,0.054668758,0.04543348,0,0,0.014681561,0.045068294,0.010215825,0.07277593,0.110336944,0.007526373,0.042815115,0.03852369,0,0,0.10617708,0.030710146,0.614585
failed,0,0.025175642,0.05440406,0.019385,0.001403692,0,0.010956165,0.069145545,0.061337806,0.05117732,0,0.017393155,0,0,0.017748477,0.34839597,0,0,0
doping,0,0,0,0,0.004387,0.002097,0,0,0.004899,0.004569,0.002358,0.000129,0,0,0.001784,0.09431,0,0,0
determined,0.03745454,0.09283535,0.044982597,0.00543866,0.008780423,0.016889632,0.019410454,0.010862189,0.016264103,0,0.074712045,0.02111445,0.003458743,0.10684051,0.029279191,0.033232417,0.020068837,0.03158606,0.027428197
denies,0.06622221,0.015360737,0,0.016082725,0.10001522,0.003808256,0,0,0,0,0.008148158,0.021787412,0.010016871,0.007362209,0.022269215,0.25426917,0.044932343,0,0
defensive,0,0.012114177,0.030186178,0,0.036997426,0.019959226,0.05770802,0.010943405,0.041205592,0.055726252,0.048654165,0.061711114,0.032554854,0.071402514,0.008100854,0.100941,0,0.030570574,0
cured,0,0.038949706,0,0.07294227,0,0.027743887,0.03808018,0,0,0,0.018085035,0.000119124,0,0,0,0.105429724,0,0.011642312,0.004188275
celebrities,0,0,0.1259294,0.082401045,0.006245592,0.015290791,0.061356705,0,0.010007016,0.06760027,0.02726063,0,0.038748104,0.144073634,0,0,0,0.010367412,0.08199628
blemish,0,0.003632368,0.025722198,0,0,0.045842085,0,0,0,0,0,0,0,0.009442129,0.02954799,0.09577284,0,9.73E-05,0.001824891
ban,0.01291275,0.0753296,0.02461061,0.058956835,0.043073528,0,0.042781077,0.020339593,0.09205154,0.067894526,0.01481903,0,0,0,0.09893118,0.14817688,0.048435066,0.03685327,0.075062
